instruction, identifier bin, used by OS, solution 
ATOMICS:
lr         , funct5: 00010 , yes       , lw rd 0(rs1)       
sc         , funct5: 00011 , yes       , sw rs2 0(rs1)
amoswap    , funct5: 00001 , yes       , lw rd 0(rs1) sw rs2 0(rs1) add rs2 rd 0
amoadd     , funct5: 00000 , yes       , lw rd 0(rs1) add rs2 rs1 rs2 sw rs2 0(rs1)
amoxor     , funct5: 00100 , dont know , 
amoand     , funct5: 01100 , dont know , 
amoor      , funct5: 01000 , yes       , lw rd 0(rs1) or rs1 rd rs2
amomin     , funct5: 10000 , dont know , 
amomax     , funct5: 10100 , dont know , 
amomimu    , funct5: 11000 , dont know ,
amomaxu    , funct5: 11100 , dont know ,

MULTIPLICATION:
mul        , funct3: 000   , yes       , li a2 0 loop: beq a1 zero done add a2 a2 a0 addi a1 a1 -1 j loop done:
mulh       , funct3: 001   , dont know , 
mulhu      , funct3: 011   , yes       , similar to mul but with shifting along the way in order to get the upper 32 bits
div        , funct3: 100   , dont know , 
divu       , funct3: 101   , dont know , 
rem        , funct3: 110   , dont know , 
remu       , funct3: 111   , dont know , 

CRS STUFF:
csrrw      , funct3: 001   , yes       , 
csrrs      , funct3: 010   , yes       ,
csrrc      , funct3: 011   , yes       ,
csrrwi     , funct3: 101   , yes       ,
csrrsi     , funct3: 110   , yes       ,
csrrci     , funct3: 111   , yes       ,


